indicator_basename,example_string,matched_files,count_files
opera,%programfiles%\opera,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
prevhost.exe,%windir%\syswow64\prevhost.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
sogouinput,%programfiles%\sogouinput,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
tencent,%programfiles%\tencent,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
ucbrowser,%programfiles%\ucbrowser,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
updates,%programfiles%\microsoft office\root\updates,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
vfs,%programfiles%\microsoft office\root\vfs,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
visio,%programfiles%\microsoft office\root\visio,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
visio10,%programfiles%\microsoft office\root\visio10,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
visio11,%programfiles%\microsoft office\root\visio11,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
visio12,%programfiles%\microsoft office\root\visio12,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
visio13,%programfiles%\microsoft office\root\visio13,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
wevtutil.exe,%windir%\system32\wevtutil.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
wfs.exe,%windir%\system32\wfs.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
winrar,%programfiles%\winrar,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
winzip,%programfiles%\winzip,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
.windowsterminal).,.:\\program files( \(x86\))?\\windowsapps\\(?!microsoft\.windowsterminal).*,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
360chrome.exe,%localappdata%\360chrome\chrome\application\360chrome.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
360se.exe,%userprofile%\appdata\roaming\360se6\application\360se.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
appdiag.exe,%localappdata%\packages\*\localcache\roaming\oracle\oracle sales cloud for outlook\loader\appdiag.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
bin,%programfiles(x86)%\Kofax\Power PDF *\bin,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
bootcodeflow.exe,%localappdata%\cflauncher\bootcodeflow.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
browser.exe,%localappdata%\yandex\yandexbrowser\application\browser.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
bupappnt.exe,%windir%\system32\bupappnt.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
cefsharp.browsersubprocess.exe,%programfiles%\ArcGISMaps\Office\CefSharp.BrowserSubprocess.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
cmtrace.exe,%windir%\system32\cmtrace.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
colorcpl.exe,%windir%\syswow64\colorcpl.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
comet,%localappdata%\Perplexity\Comet,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
doclauncher.exe,%localappdata%\seclore\filesecure\filesecure lite\doclauncher.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
driveforoffice.synchelper.exe,%localappdata%\google\drive plugin for office\driveforoffice.synchelper.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
dw20.exe,%programfiles%\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\DW\dw20.exe,asr_lua_20.bin;asr_lua_22.bin;asr_lua_24.bin;asr_lua_24.bin.txt,4
eowp.exe,%programfiles(x86)%\Apttus\X-Author Contracts\eowp.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
eventvwr.exe,%windir%\system32\eventvwr.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
fiddler.exe,%localappdata%\packages\*\localcache\local\programs\fiddler\fiddler.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
fondue.exe,%windir%\system32\fondue.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
fontview.exe,%windir%\system32\fontview.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
g2mstart.exe,%localappdata%\gotomeeting\*\g2mstart.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
gpgme-w32spawn.exe,%localappdata%\gpg4win\bin\gpgme-w32spawn.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
hh.exe,%windir%\hh.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
ime,%windir%\system32\ime,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
infoslips.viewer.exe,%userprofile%\appdata\roaming\infoslipsforme\infoslips.viewer.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
launcher.exe,%localappdata%\packages\*\localcache\local\programs\opera\launcher.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
microsoft dynamics nav,%programfiles%\Microsoft Dynamics NAV,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
microsoft power bi desktop,%programfiles%\Microsoft Power BI Desktop,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
microsoft power query for excel,%programfiles%\Microsoft Power Query for Excel,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
microsoft product studio,%programfiles%\Microsoft Product Studio,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
microsoft rights management sharing application,%programfiles%\Microsoft Rights Management sharing application,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
microsoft silverlight,%programfiles%\Microsoft Silverlight,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
microsoft sql server,%programfiles%\Microsoft SQL Server,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
microsoft visual studio,%programfiles%\Microsoft Visual Studio,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
microsoft visual studio 12.0,%programfiles%\Microsoft Visual Studio 12.0,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
microsoft visual studio 14.0,%programfiles%\Microsoft Visual Studio 14.0,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
microsoft vs code,%programfiles%\Microsoft VS Code,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
mimecast,%programfiles%\Mimecast,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
mqtechnologies,%programfiles%\MQTechnologies,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
msiexec.exe,%windir%\system32\msiexec.exe,asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt,4
