indicator_basename,example_string,matched_files,count_files
"""|$)).","explorer\.exe\""?\s+(?!.+\.exe(\s|\""|$)).*",asr_lua_23.bin,1
' population within msft org,This is a Test HIPS Rule that exposes rule logic in audit mode to \'X\' population within MSFT org,asr_lua_3.bin.txt,1
-s).)*$,"^\""?.:\\windows\\system32\\werfault\.exe\""?((?!\-s).)*$",asr_lua_21.bin,1
.cmd,"cmd(\.exe)?\""?\s+\/c\s+.+runadhocallocupdate\.cmd",asr_lua_23.bin,1
.csb$,"\""?rundll32(\.exe)?\""?\s+\""?.:\\progra~.\\ser\\doxis.~.\\wincub~.\.dll\""?,openstgfile\s+.+\.csb$",asr_lua_24.bin,1
.emc$,"\""?rundll32(\.exe)?\""?\s+\""?.:\\program files\\striata-reader\\keymail.dll\""?,opendocument\s+.+\.emc$",asr_lua_24.bin,1
.log,"\""?[a-z]:\\windows\\system32\\msiexec\.exe\""?\s+.+\{[0-9a-f]+\-[0-9a-f]+\-[0-9a-f]+\-[0-9a-f]+\-[0-9a-f]+\}\s+.+[a-z]:\\windows\\temp\\nmwlogs\\wvdapps\\[^\\\.]+\.log",asr_lua_19.bin,1
.ps1.+$,"\\powershell\.exe\""?\s+.+[a-z]:\\programdata\\microsoft\\windows defender advanced threat protection\\downloads\\psscript_[^\.]+\.ps1.+$",asr_lua_21.bin,1
.txt,"\""?.:\\windows\\system32\\sc\.exe\""?\s+start\s+tenable_mw_scan\s+output=nessus_[^\s\.]+\.txt",asr_lua_19.bin,1
.vsto$,"\""?rundll32(\.exe)?\""?\s+\""?.:\\program files( \(x86\))?\\common files\\microsoft shared\\vsto\\vstoee.dll\""?,installvstosolution\s+.+\.vsto$",asr_lua_23.bin,1
1e.client.exe,%programfiles%\1E\Client\1E.Client.exe,asr_lua_21.bin,1
3dxservice.exe,%programfiles%\3Dconnexion\3DxWare\3DxWinCore\3DxService.exe,asr_lua_24.bin,1
aacambienthal,%programfiles%\ASUS\AacAmbientHal,asr_lua_5.bin,1
aacmb,%programfiles%\ASUS\AacMB,asr_lua_5.bin,1
acer office manager agent,%programfiles%\Acer\Acer Office Manager Agent,asr_lua_5.bin,1
acer power management,%programfiles%\Acer\Acer Power Management,asr_lua_5.bin,1
acer proshield plus,%programfiles%\Acer\Acer ProShield Plus,asr_lua_5.bin,1
acer quick access,%programfiles%\Acer\Acer Quick Access,asr_lua_5.bin,1
acerincorporated,%programfiles%\WindowsApps\AcerIncorporated,asr_lua_5.bin,1
aciseagent.exe,%programfiles(x86)%\Cisco\Cisco AnyConnect Secure Mobility Client\aciseagent.exe,asr_lua_21.bin,1
aclauncher.exe,%programfiles%\Common Files\Autodesk Shared\AcShellEx\AcLauncher.exe,asr_lua_24.bin,1
aconepackagetemp,%programfiles%\ASUS\ACOnePackageTemp,asr_lua_5.bin,1
acrobat dc,%programfiles(x86)%\acrobat dc,asr_lua_22.bin,1
acrobat.exe,%programfiles%\adobe\acrobat 10.0\acrobat\acrobat.exe,asr_lua_22.bin,1
acrord32.exe,%programfiles%\adobe\acrobat reader 2015\reader\acrord32.exe,asr_lua_22.bin,1
acrord??.exe,%programfiles(x86)%\Adobe\Acrobat Reader DC\Reader\AcroRd??.exe,asr_lua_20.bin,1
acroservicesupdater.exe,%programfiles(x86)%\Adobe\Acrobat DC\Acrobat\AcroCEF\AcroServicesUpdater.exe,asr_lua_21.bin,1
acservice.exe,%programfiles(x86)%\Digital Arts\AC\app\bin\acservice.exe,asr_lua_21.bin,1
acswgagent.exe,%programfiles(x86)%\Cisco\Cisco AnyConnect Secure Mobility Client\acswgagent.exe,asr_lua_21.bin,1
adappmgrsvc.exe,%programfiles(x86)%\Autodesk\Autodesk Desktop App\AdAppMgrSvc.exe,asr_lua_21.bin,1
adobe installer.exe,%programfiles(x86)%\Common Files\Adobe\Adobe Desktop Common\ElevationManager\Adobe Installer.exe,asr_lua_21.bin,1
adobearm.exe,%programfiles(x86)%\Common Files\Adobe\ARM\*\AdobeARM.exe,asr_lua_21.bin,1
adobearmhelper.exe,%programfiles(x86)%\Common Files\Adobe\ARM\*\AdobeARMHelper.exe,asr_lua_21.bin,1
aexnsagent.exe,%programfiles%\Altiris\Altiris Agent\AeXNSAgent.exe,asr_lua_21.bin,1
agent,%programfiles(x86)%\Aternity Information Systems\Agent,asr_lua_21.bin,1
agent.exe,%programfiles(x86)%\N-able Technologies\Windows Agent\bin\agent.exe,asr_lua_21.bin,1
agentpackagemonitoring.exe,%programfiles%\ATERA Networks\AteraAgent\Packages\AgentPackageMonitoring\AgentPackageMonitoring.exe,asr_lua_5.bin,1
aggregator.agent.exe,%programfiles(x86)%\FortiMonitorAgent\bin\Aggregator.Agent.exe,asr_lua_21.bin,1
agmservice.exe,%programfiles(x86)%\Common Files\Adobe\AdobeGCClient\AGMService.exe,asr_lua_21.bin,1
ai suite iii,%programfiles(x86)%\ASUS\AI Suite III,asr_lua_5.bin,1
aicreator_pytorch,%programfiles%\ASUS\AICreator_pytorch,asr_lua_5.bin,1
amagent.exe,%programfiles%\AppSense\Application Manager\Agent\AMAgent.exe,asr_lua_21.bin,1
ammessage.exe,%programfiles%\AppSense\Application Manager\Agent\AMMessage.exe,asr_lua_22.bin,1
ams,%programfiles%\Hewlett-Packard\AMS,asr_lua_5.bin,1
ams.exe,%programfiles%\OEM\AMS\Service\ams.exe,asr_lua_21.bin,1
apphelpercap.exe,%windir%\system32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_*\x64\AppHelperCap.exe,asr_lua_21.bin,1
apppid.exe,%programfiles%\eGurkha\lib\AppPid.exe,asr_lua_21.bin,1
arelliadisplayxamlaction.exe,%programfiles%\Thycotic\Agents\ApplicationControl\ArelliaDisplayXamlAction.exe,asr_lua_24.bin,1
armoury crate lite service,%programfiles%\ASUS\ARMOURY CRATE Lite Service,asr_lua_5.bin,1
armoury crate se service,%programfiles%\ASUS\ARMOURY CRATE SE Service,asr_lua_5.bin,1
armoury crate service,%programfiles%\ASUS\Armoury Crate Service,asr_lua_5.bin,1
assistant,%programdata%\Lenovo\TPQM\Assistant,asr_lua_5.bin,1
asus dial control panel toolkit,%programfiles%\ASUS\ASUS Dial Control Panel Toolkit,asr_lua_5.bin,1
asus hotplug controller,%programfiles%\ASUS\ASUS Hotplug Controller,asr_lua_5.bin,1
asus monitor control,%programfiles%\ASUS\ASUS Monitor Control,asr_lua_5.bin,1
asus system control interface,%programdata%\ASUS\ASUS System Control Interface,asr_lua_5.bin,1
asus-driverhub-installer.exe,%programfiles(x86)%\ASUS\ASUS-DriverHub-Installer.exe,asr_lua_5.bin,1
asus_framework.exe,%programfiles(x86)%\ASUS\ArmouryDevice\asus_framework.exe,asr_lua_5.bin,1
asusaicrosslink,%programdata%\ASUS\ASUSAiCrosslink,asr_lua_5.bin,1
asusdriverhub,%programfiles%\ASUS\AsusDriverHub,asr_lua_5.bin,1
asusfancontrolservice,%programfiles(x86)%\ASUS\AsusFanControlService,asr_lua_5.bin,1
asusfcnotification,%programfiles(x86)%\ASUS\AsusFCNotification,asr_lua_5.bin,1
asusgamingcenterinstallpackage,%programfiles(x86)%\ASUS\AsusGamingCenterInstallPackage,asr_lua_5.bin,1
asusremotewake,%programfiles(x86)%\ASUS\ASUSRemoteWake,asr_lua_5.bin,1
asusroglslservice,%programfiles(x86)%\ASUS\AsusROGLSLService,asr_lua_5.bin,1
asusscreenxpert,%programfiles%\ASUS\AsusScreenXpert,asr_lua_5.bin,1
atbroker.exe,%windir%\system32\atbroker.exe,asr_lua_22.bin,1
aternityupdate.exe,%programfiles(x86)%\Aternity Information Systems\Update\AternityUpdate.exe,asr_lua_21.bin,1
atfsvr??.exe,%programfiles(x86)%\JustSystems\ATOK??\ATFSVR??.EXE,asr_lua_22.bin,1
atkexcomsvc.exe,%programfiles(x86)%\ASUS\AXSP\*\atkexComSvc.exe,asr_lua_5.bin,1
auraconnect.exe,%programfiles(x86)%\ASUS\AURACONNECT\AuraConnect.exe,asr_lua_5.bin,1
awprocesscommands.exe,%programfiles(x86)%\Airwatch\AgentUI\AWProcessCommands.exe,asr_lua_21.bin,1
balbixupdate.exe,%programfiles(x86)%\Balbix\Update\BalbixUpdate.exe,asr_lua_21.bin,1
besclient.exe,%programfiles(x86)%\BigFix Enterprise\BES Client\BESClient.exe,asr_lua_21.bin,1
bndaemon.exe,%programfiles(x86)%\Bradford Networks\Persistent Agent\bndaemon.exe,asr_lua_21.bin,1
bootcfg.exe,%systemroot%\system32\bootcfg.exe,asr_lua_17.bin,1
braveupdate.exe,%programfiles(x86)%\BraveSoftware\Update\BraveUpdate.exe,asr_lua_21.bin,1
buaappnt.exe,%windir%\system32\buaappnt.exe,asr_lua_22.bin,1
care center,%programfiles(x86)%\Acer\Care Center,asr_lua_5.bin,1
cb.exe,%windir%\CarbonBlack\cb.exe,asr_lua_21.bin,1
ccm32bitlauncher.exe,%windir%\CCM\Ccm32BitLauncher.exe,asr_lua_19.bin,1
ccmexec.exe,%programfiles%\SMS_CCM\CcmExec.exe,asr_lua_21.bin,1
changeauditor.service.exe,%programfiles%\Quest\ChangeAuditor\Service\ChangeAuditor.Service.exe,asr_lua_21.bin,1
check_mk_agent.exe,%programfiles(x86)%\checkmk\service\check_mk_agent.exe,asr_lua_21.bin,1
chkdsk.exe,%windir%\system32\chkdsk.exe,asr_lua_5.bin,1
cisco secure client,%programfiles(x86)%\Cisco\Cisco Secure Client,asr_lua_21.bin,1
ciscod.exe,%programfiles(x86)%\Cisco\Cisco HostScan\bin\ciscod.exe,asr_lua_21.bin,1
clear.fi,%programfiles(x86)%\Acer\clear.fi,asr_lua_5.bin,1
clienthealtheval.exe,%programfiles(x86)%\Microsoft Intune Management Extension\ClientHealthEval.exe,asr_lua_21.bin,1
command monitor,%programfiles%\Dell\Command Monitor,asr_lua_5.bin,1
controlcenter,%programfiles(x86)%\Acer\ControlCenter,asr_lua_5.bin,1
core.exe,%programfiles%\Topaz OFD\Warsaw\core.exe,asr_lua_21.bin,1
coresynccustomhook.exe,%programfiles(x86)%\Adobe\Adobe Sync\CoreSync\customhook\CoreSyncCustomHook.exe,asr_lua_21.bin,1
cpc10q.exe,%windir%\system32\spool\drivers\x64\3\CPC10Q.EXE,asr_lua_20.bin,1
cpda.exe,%programfiles(x86)%\CheckPoint\Endpoint Security\Endpoint Common\bin\cpda.exe,asr_lua_21.bin,1
cpthost.exe,%programfiles(x86)%\Zoom\bin\CptHost.exe,asr_lua_21.bin,1
cpuz_asus.exe,%programfiles%\CPUID\ASUS CPU-Z\cpuz_asus.exe,asr_lua_5.bin,1
cpuz_tuf.exe,%programfiles%\CPUID\ASUS CPU-Z\cpuz_tuf.exe,asr_lua_5.bin,1
cuagent.exe,%programfiles%\Smart-X\ControlUpAgent\Version*\cuAgent.exe,asr_lua_21.bin,1
d+,"pwsh(\.exe)?\""?\s+-noexit\s+-file\s+\""?[a-z]:\\users\\[^\\]+\\appdata\\local\\temp\\regressionfinder\.ps1\""?\s+-launchspecificversion\s+-version\s+\d+\.\d+\.\d+\.\d+",asr_lua_24.bin,1
defendpointservice.exe,%programfiles%\Avecto\Privilege Guard Client\DefendpointService.exe,asr_lua_21.bin,1
dell backup and recovery,%programfiles(x86)%\Dell Backup and Recovery,asr_lua_5.bin,1
dell data protection,%programfiles%\Dell\Dell Data Protection,asr_lua_5.bin,1
dell datasafe local backup,%programfiles(x86)%\Dell DataSafe Local Backup,asr_lua_5.bin,1
dell insights,%programfiles%\Dell\Dell Insights,asr_lua_5.bin,1
dell.techhub.instrumentation.subagent.exe,%programfiles%\Dell\DTP\InstrumentationSubAgent\Dell.TechHub.Instrumentation.SubAgent.exe,asr_lua_21.bin,1
delldatavault,%programfiles%\Dell\DellDataVault,asr_lua_5.bin,1
delloptimizer.exe,%programfiles%\Dell\DellOptimizer\DellOptimizer.exe,asr_lua_21.bin,1
demagentprocess.exe,%programfiles%\Palo Alto Networks\DEM\DEMAgentProcess.exe,asr_lua_21.bin,1
discagnt.exe,%programfiles(x86)%\Micro Focus\Discovery Agent\bin32\discagnt.exe,asr_lua_21.bin,1
discusge.exe,%programfiles(x86)%\Micro Focus\Discovery Agent\Plugins\usage\discusge.exe,asr_lua_21.bin,1
displaylinkhotdeskservice.exe,%programfiles%\DisplayLink Core Software\DisplayLinkHotDeskService.exe,asr_lua_21.bin,1
dll,%programfiles(x86)%\ASUS\ArmouryDevice\dll,asr_lua_5.bin,1
draw.io.exe,%programfiles%\draw.io\draw.io.exe,asr_lua_24.bin,1
driverupdate,%programdata%\Lenovo\DriverUpdate,asr_lua_5.bin,1
dropboxupdate.exe,%programfiles(x86)%\Dropbox\Update\DropboxUpdate.exe,asr_lua_21.bin,1
dtp,%programfiles%\Dell\DTP,asr_lua_5.bin,1
edmserver.exe,%programfiles%\SOLIDWORKS Corp\SOLIDWORKS PDM\EdmServer.exe,asr_lua_24.bin,1
edpa.exe,%programfiles%\Manufacturer\Endpoint Agent\edpa.exe,asr_lua_21.bin,1
ein_sv.exe,%programfiles%\EPSON Projector\Easy Interactive Driver Ver.??\EIN_SV.exe,asr_lua_21.bin,1
eloactivatejc.exe,%programfiles%\ELO Digital Office GmbH\ELO Java Client\EloActivateJC.exe,asr_lua_22.bin,1
encpt.bat,"\""?.:\\windows\\system32\\cmd(\.exe)?\""?\s+\/c\s+.:\\bbl-icash\\bblkeyin\\ext\\encpt.bat",asr_lua_23.bin,1
energy management,%programfiles(x86)%\Lenovo\Energy Management,asr_lua_5.bin,1
epm.exe,%programfiles%\Eracent\EPM\epm.exe,asr_lua_21.bin,1
epmclient,%programfiles%\Microsoft EPM Agent\EPMClient,asr_lua_23.bin,1
epwd.exe,%programfiles(x86)%\CheckPoint\Endpoint Connect\Watchdog\EPWD.exe,asr_lua_21.bin,1
eqnedt32.exe,%programfiles%\Microsoft Office\root\VFS\ProgramFilesCommonX86\Microsoft Shared\EQUATION\eqnedt32.exe,asr_lua_23.bin,1
esensor.exe,%programfiles%\Endgame\esensor.exe,asr_lua_21.bin,1
esrv_svc.exe,%programfiles%\Intel\SUR\QUEENCREEK\x64\esrv_svc.exe,asr_lua_21.bin,1
f5epi.exe,%windir%\Downloaded Program Files\f5epi.exe,asr_lua_21.bin,1
fdsofcexec.exe,%programfiles%\FactSet\FdsOfcExec.exe,asr_lua_23.bin,1
firstrun.exe,%programfiles(x86)%\Microsoft Office\Office*\FIRSTRUN.EXE,asr_lua_20.bin,1
flexengine.exe,%programfiles%\Immidio\Flex Profiles\FlexEngine.exe,asr_lua_24.bin,1
format.com,%windir%\system32\format.com,asr_lua_5.bin,1
fortiesnac.exe,%programfiles(x86)%\Fortinet\FortiClient\FortiESNAC.exe,asr_lua_21.bin,1
fortiproxy.exe,%programfiles%\Fortinet\FortiClient\FortiProxy.exe,asr_lua_21.bin,1
fsdaemon.exe,%programfiles%\NetClean Technologies\ProActive\fsdaemon\bin\fsdaemon.exe,asr_lua_21.bin,1
fusionengine,%programfiles%\Lenovo\FusionEngine,asr_lua_5.bin,1
fusionexecutor.exe,%programfiles%\Unify\Fusion for MS Office\FusionPlugins\FusionExecutor.exe,asr_lua_22.bin,1
gamingservices.exe,%programfiles%\WindowsApps\Microsoft.GamingServices_*\gamingservices.exe,asr_lua_21.bin,1
gc-launcher.exe,%programfiles%\Guardicore\gc-launcher.exe,asr_lua_21.bin,1
gemonproc.exe,%programfiles%\TOLLAD\GEMONPROC.exe,asr_lua_21.bin,1
getjcid.exe,%programfiles(x86)%\FUJIFILM\DocumentMonitor\DocMon\GetJCID.exe,asr_lua_22.bin,1
glidex,%programfiles%\ASUS\GlideX,asr_lua_5.bin,1
googleupdate.exe,%programfiles(x86)%\Google\Update\GoogleUpdate.exe,asr_lua_21.bin,1
gpupdate.exe,%windir%\system32\gpupdate.exe,asr_lua_19.bin,1
gputweakiii,%programfiles(x86)%\ASUS\GPUTweakIII,asr_lua_5.bin,1
grabforwindows,%programfiles%\Dell\GrabForWindows,asr_lua_5.bin,1
grid,%programfiles(x86)%\ASUS\Grid,asr_lua_5.bin,1
healthservice.exe,%programfiles%\Microsoft Monitoring Agent\Agent\HealthService.exe,asr_lua_21.bin,1
hosts,%programdata%\Lenovo\Udc\Hosts,asr_lua_5.bin,1
hotkeyserviceuwp.exe,%windir%\system32\DriverStore\FileRepository\hpqkbsoftwarecompnent.inf_amd64_*\HotKeyServiceUWP.exe,asr_lua_21.bin,1
hp,%programdata%\EasyRaidCheck\HP,asr_lua_5.bin,1
hp bto software,%programdata%\HP\HP BTO Software,asr_lua_5.bin,1
hp deskjet,%programfiles(x86)%\HP\HP DeskJet,asr_lua_5.bin,1
hp display control service,%programfiles%\Portrait Displays\HP Display Control Service,asr_lua_5.bin,1
hp enabling services,%programfiles%\HP\HP Enabling Services,asr_lua_5.bin,1
hp envy,%programfiles(x86)%\HP\HP ENVY,asr_lua_5.bin,1
hp health check,%programfiles(x86)%\Hewlett-Packard\HP Health Check,asr_lua_5.bin,1
hp image assistant,%programfiles%\HP Image Assistant,asr_lua_5.bin,1
hp ink tank wireless,%programfiles(x86)%\HP\HP Ink Tank Wireless,asr_lua_5.bin,1
hp media network,%programfiles%\HP\HP Media Network,asr_lua_5.bin,1
hp mik client,%programfiles(x86)%\HP\HP MIK Client,asr_lua_5.bin,1
hp officejet,%programfiles(x86)%\HP\HP OfficeJet,asr_lua_5.bin,1
hp one agent,%programfiles%\HP\HP One Agent,asr_lua_5.bin,1
hp performance advisor,%programfiles(x86)%\HP\HP Performance Advisor,asr_lua_5.bin,1
hp support framework,%programfiles(x86)%\Hewlett-Packard\HP Support Framework,asr_lua_5.bin,1
hp support solutions,%programfiles(x86)%\Hewlett-Packard\HP Support Solutions,asr_lua_5.bin,1
hp thinupdate,%programfiles%\HP\HP ThinUpdate,asr_lua_5.bin,1
hp touchpoint analytics client,%programfiles(x86)%\HP\HP Touchpoint Analytics Client,asr_lua_5.bin,1
hp touchpoint manager,%programfiles(x86)%\Hewlett-Packard\HP Touchpoint Manager,asr_lua_5.bin,1
hphwdiag,%programfiles(x86)%\HP\HpHwDiag,asr_lua_5.bin,1
hpia,%programfiles%\HP\HPIA,asr_lua_5.bin,1
hpimageassistant,%programfiles(x86)%\HPImageAssistant,asr_lua_5.bin,1
hpljut,%programfiles(x86)%\HP\HPLJUT,asr_lua_5.bin,1
hpssacli,%programfiles%\HP\hpssacli,asr_lua_5.bin,1
huntressagent.exe,%programfiles%\Huntress\HuntressAgent.exe,asr_lua_21.bin,1
ibsaservice.exe,%programfiles%\Phantom\IBSA\ibsaService.exe,asr_lua_21.bin,1
icacarddialogs.exe,%programfiles%\I.CA SecureStore\IcaCardDialogs\ICACardDialogs.exe,asr_lua_22.bin,1
idafserverhostservice.exe,%programfiles(x86)%\CheckPoint\Endpoint Security\Endpoint Common\bin\IDAFServerHostService.exe,asr_lua_21.bin,1
idiaglite,%programfiles%\Dell\iDiagLite,asr_lua_5.bin,1
ie4uinit.exe,%windir%\system32\ie4uinit.exe,asr_lua_22.bin,1
ieunatt.exe,%windir%\syswow64\ieunatt.exe,asr_lua_22.bin,1
image assistant,%programfiles%\HP\Image Assistant,asr_lua_5.bin,1
imcontroller,%programdata%\Lenovo\ImController,asr_lua_5.bin,1
imecfmui.exe,%windir%\syswow64\ime\shared\imecfmui.exe,asr_lua_22.bin,1
imepadsv.exe,%windir%\syswow64\ime\shared\imepadsv.exe,asr_lua_22.bin,1
imjpdct.exe,%windir%\syswow64\ime\imejp\imjpdct.exe,asr_lua_22.bin,1
ines.userservice.exe,%programfiles(x86)%\Office Timeline\Current\Ines.UserService.Exe,asr_lua_20.bin,1
infocagefileshell,%programfiles(x86)%\NEC\InfoCageFileShell,asr_lua_22.bin,1
infoclient.exe,%programfiles(x86)%\Cordaware\Infoband\Infoclient.exe,asr_lua_21.bin,1
injectlibrary.exe,%programfiles%\Equitrac\Office\Common\InjectLibrary.exe,asr_lua_24.bin,1
install_helper_tool.exe,%programfiles%\Autodesk\AdODIS\V1\Setup\install_helper_tool.exe,asr_lua_21.bin,1
intelbroadbandmanagersvc.exe,%windir%\system32\IntelBroadbandManagerSvc.exe,asr_lua_21.bin,1
ismccfhook86.exe,%programfiles%\Quality\ISMC\ISMCClient\ISMCCFHook86.exe,asr_lua_22.bin,1
jato.v5.ui.tutorial.exe,%programfiles%\JATO\V5\JATO.V5.UI.Tutorial.exe,asr_lua_23.bin,1
java.exe,%programfiles%\Ricoh\Streamline NX\PC Client\jre\bin\java.exe,asr_lua_21.bin,1
jedox.browsersubprocess.exe,%programfiles%\Jedox\Jedox Suite\xladdin\Jedox.BrowserSubprocess.exe,asr_lua_23.bin,1
justpdf5creator.exe,%programfiles(x86)%\JustSystems\JustPdf5\Creator\JustPdf5Creator.exe,asr_lua_22.bin,1
knowbe4.secondchance.userdialog.exe,%programfiles(x86)%\KnowBe4\Second Chance\knowbe4.secondchance.userdialog.exe,asr_lua_22.bin,1
laserfiche.officemonitor.exe,%programfiles%\Laserfiche\Client\LFOffice64\Laserfiche.OfficeMonitor.exe,asr_lua_24.bin,1
lcd-cs.exe,%programfiles%\Acer DT\LCD-CS.exe,asr_lua_5.bin,1
leappstore,%programfiles(x86)%\Lenovo\LeAppStore,asr_lua_5.bin,1
legionzone,%programfiles(x86)%\Lenovo\LegionZone,asr_lua_5.bin,1
lenovo,%systemroot%\System32\drivers\Lenovo,asr_lua_5.bin,1
lenovo diagnostics evolution,%programfiles%\Lenovo\Lenovo Diagnostics Evolution,asr_lua_5.bin,1
lenovo diagnostics tool,%programfiles%\Lenovo\Lenovo Diagnostics Tool,asr_lua_5.bin,1
lenovo home,%programfiles(x86)%\Lenovo\Lenovo Home,asr_lua_5.bin,1
lenovo solution center,%programfiles%\Lenovo\Lenovo Solution Center,asr_lua_5.bin,1
lenovodiagnosticscli.exe,%programfiles(x86)%\Lenovo\ldiagx64\LenovoDiagnosticsCLI.exe,asr_lua_5.bin,1
lenovovantage-(lenovoboostsystemaddin).exe,%programfiles(x86)%\Lenovo\VantageService\*\LenovoVantage-(LenovoBoostSystemAddin).exe,asr_lua_21.bin,1
liveupdatehub.exe,%programfiles(x86)%\empower\charts\LiveUpdateHub.exe,asr_lua_20.bin,1
llm-server.exe,%programfiles%\ASUS\llm-server\llm-server.exe,asr_lua_5.bin,1
lmhost.exe,%programfiles%\HEAT Software\EMSSAgent\*\lmhost.exe,asr_lua_21.bin,1
localservicelauncher.exe,%programfiles%\MacroView\DMF\LocalServiceLauncher.exe,asr_lua_24.bin,1
logisynchandler.exe,%programfiles(x86)%\Logitech\LogiSync\sync-agent\LogiSyncHandler.exe,asr_lua_21.bin,1
logonui.exe,%windir%\system32\LogonUI.exe,asr_lua_21.bin,1
lpksetup.exe,%windir%\system32\lpksetup.exe,asr_lua_21.bin,1
lsass.exe,%windir%\system32\lsass.exe,asr_lua_21.bin,1
lsiagent.exe,%programfiles(x86)%\SysTrack\LsiAgent\LsiAgent.exe,asr_lua_21.bin,1
lsimods64.exe,%programfiles(x86)%\SysTrack\LsiAgent\LsiMods64.exe,asr_lua_21.bin,1
lsisupervisor.exe,%programfiles(x86)%\SysTrack\LsiAgent\LsiSupervisor\*\LsiSupervisor.exe,asr_lua_21.bin,1
lspcmr.exe,%programfiles(x86)%\MOTEX\LanScope Cat MR\Lspcmr.exe,asr_lua_21.bin,1
maxsize=[0]+(((g|m)b)|%),"vssadmin(\.exe)?[\s\""]+resize\s+shadowstorage\s+.+?/maxsize=[0]+(((g|m)b)|%)",asr_lua_18.bin,1
mbr2gpt.exe,%windir%\system32\MBR2GPT.EXE,asr_lua_5.bin,1
mdatpclientanalyzer.exe,%systemdrive%\*\Tools\MDATPClientAnalyzer.exe,asr_lua_19.bin,1
mdeclientanalyzer.exe,%systemdrive%\MDE\Tools\MDEClientAnalyzer.exe,asr_lua_19.bin,1
media,%programfiles(x86)%\Hewlett-Packard\Media,asr_lua_5.bin,1
metrics_tool.exe,%programfiles%\Nitro\PDF Pro\*\metrics_tool.exe,asr_lua_22.bin,1
mgssecsvc.exe,%programfiles(x86)%\ManageSoft\Security Agent\mgssecsvc.exe,asr_lua_21.bin,1
microsoft office,%programfiles%\microsoft office,asr_lua_22.bin,1
microsoft security client,%programfiles%\microsoft security client,asr_lua_22.bin,1
microsoft shared debug,%programfiles%\Common Files\Microsoft Shared Debug,asr_lua_23.bin,1
microsoft.flow.rpa.*.exe,%programfiles(x86)%\Power Automate Desktop\Microsoft.Flow.RPA.*.exe,asr_lua_21.bin,1
microsoft.flow.rpa.launcherservice.exe,%programfiles(x86)%\Power Automate Desktop\Microsoft.Flow.RPA.LauncherService.exe,asr_lua_21.bin,1
microsoft.identity.aadconnect.health.aadsync.host.exe,%programfiles%\Microsoft Azure AD Connect Health Sync Agent\Insights\Microsoft.Identity.AadConnect.Health.AadSync.Host.exe,asr_lua_21.bin,1
microsoft.management.services.cloudmanageddesktop.agent.exe,%programfiles%\Microsoft Cloud Managed Desktop Extension\CMDExtension\Microsoft.Management.Services.CloudManagedDesktop.Agent.exe,asr_lua_21.bin,1
microsoft.management.services.intunewindowsagent.exe,%programfiles(x86)%\Microsoft Intune Management Extension\Microsoft.Management.Services.IntuneWindowsAgent.exe,asr_lua_21.bin,1
microsoft.mashup.container.loader.exe,%programfiles%\Microsoft Office\root\Office16\ADDINS\Microsoft Power Query for Excel Integrated\bin\Microsoft.Mashup.Container.Loader.exe,asr_lua_20.bin,1
microsoft.tri.sensor.updater.exe,%programfiles%\Azure Advanced Threat Protection Sensor\*\Microsoft.Tri.Sensor.Updater.exe,asr_lua_21.bin,1
microsoftdependencyagent.exe,%programfiles%\Microsoft Dependency Agent\bin\MicrosoftDependencyAgent.exe,asr_lua_21.bin,1
microsoftedgeupdate.exe,%programfiles(x86)%\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,asr_lua_21.bin,1
minionhost.exe,%programfiles%\Cybereason ActiveProbe\minionhost.exe,asr_lua_21.bin,1
mofcomp.exe,%windir%\system32\wbem\mofcomp.exe,asr_lua_19.bin,1
momperfsnapshothelper.exe,%programfiles%\Microsoft Monitoring Agent\Agent\MOMPerfSnapshotHelper.exe,asr_lua_21.bin,1
monagentcore.exe,%programfiles%\Microsoft RDInfra\RDMonitoringAgent_*\Agent\MonAgentCore.exe,asr_lua_21.bin,1
monitoringhost.exe,%programfiles%\Microsoft Monitoring Agent\Agent\MonitoringHost.exe,asr_lua_21.bin,1
mousocoreworker.exe,%windir%\system32\MoUsoCoreWorker.exe,asr_lua_5.bin,1
mprecovertaskbar.exe,%windir%\MpRecoverTaskbar.exe,asr_lua_5.bin,1
mptaskbarrecover.exe,%windir%\MpTaskBarRecover.exe,asr_lua_5.bin,1
mrt.exe,%windir%\system32\mrt.exe,asr_lua_21.bin,1
ms-teams.exe,%programfiles%\WindowsApps\MSTeams_*\ms-teams.exe,asr_lua_20.bin,1
msaccess.exe,%programfiles(x86)%\Microsoft Office\Office??\MSACCESS.EXE,asr_lua_23.bin,1
msip.executionhost.exe,%programfiles(x86)%\Microsoft Azure Information Protection\MSIP.ExecutionHost.exe,asr_lua_20.bin,1
msip.executionhost32.exe,%programfiles(x86)%\Microsoft Azure Information Protection\MSIP.ExecutionHost32.exe,asr_lua_20.bin,1
msrdcwebrtcsvc.exe,%programfiles%\Remote Desktop WebRTC Redirector\MsRdcWebRTCSvc.exe,asr_lua_21.bin,1
mtxagent.exe,%programfiles%\BMC*\Client Management\Client\bin\mtxagent.exe,asr_lua_21.bin,1
ndrsetup.exe,%programdata%\Microsoft\Windows Defender Advanced Threat Protection\SenseNDR\NdrSetup.exe,asr_lua_21.bin,1
ndtrack.exe,%programfiles(x86)%\ManageSoft\Tracker\ndtrack.exe,asr_lua_21.bin,1
