indicator_basename,example_string,matched_files,count_files,rule_names,guids,has_rmm_guid
epmclient,%programfiles%\Microsoft EPM Agent\EPMClient,asr_lua_23.bin,1,Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
epwd.exe,%programfiles(x86)%\CheckPoint\Endpoint Connect\Watchdog\EPWD.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
eqnedt32.exe,%programfiles%\Microsoft Office\root\VFS\ProgramFilesCommonX86\Microsoft Shared\EQUATION\eqnedt32.exe,asr_lua_23.bin,1,Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
esensor.exe,%programfiles%\Endgame\esensor.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
esrv_svc.exe,%programfiles%\Intel\SUR\QUEENCREEK\x64\esrv_svc.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
f5epi.exe,%windir%\Downloaded Program Files\f5epi.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
fdsofcexec.exe,%programfiles%\FactSet\FdsOfcExec.exe,asr_lua_23.bin,1,Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
firstrun.exe,%programfiles(x86)%\Microsoft Office\Office*\FIRSTRUN.EXE,asr_lua_20.bin,1,Block Office applications from injecting code into other processes,,no
flexengine.exe,%programfiles%\Immidio\Flex Profiles\FlexEngine.exe,asr_lua_24.bin,1,Block Office communication application from creating child processes,,no
format.com,%windir%\system32\format.com,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
fortiesnac.exe,%programfiles(x86)%\Fortinet\FortiClient\FortiESNAC.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
fortiproxy.exe,%programfiles%\Fortinet\FortiClient\FortiProxy.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
fsdaemon.exe,%programfiles%\NetClean Technologies\ProActive\fsdaemon\bin\fsdaemon.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
fusionengine,%programfiles%\Lenovo\FusionEngine,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
fusionexecutor.exe,%programfiles%\Unify\Fusion for MS Office\FusionPlugins\FusionExecutor.exe,asr_lua_22.bin,1,Block Adobe Reader from creating child processes,,no
gamingservices.exe,%programfiles%\WindowsApps\Microsoft.GamingServices_*\gamingservices.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
gc-launcher.exe,%programfiles%\Guardicore\gc-launcher.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
gemonproc.exe,%programfiles%\TOLLAD\GEMONPROC.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
getjcid.exe,%programfiles(x86)%\FUJIFILM\DocumentMonitor\DocMon\GetJCID.exe,asr_lua_22.bin,1,Block Adobe Reader from creating child processes,,no
glidex,%programfiles%\ASUS\GlideX,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
googleupdate.exe,%programfiles(x86)%\Google\Update\GoogleUpdate.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
gpupdate.exe,%windir%\system32\gpupdate.exe,asr_lua_19.bin,1,Block Process Creations originating from PSExec & WMI commands,3216b490-71ee-4a94-b228-13b1c1582e3b,no
